#Frame      Mode1    Mode2    Mode3
     430  -66.084  -77.570   -5.274
     431  -69.223  -76.167  -10.228
     432  -75.272  -69.847   -5.434
     433  -80.578  -66.802    7.465
     434  -75.345  -59.996  -10.179
     435  -75.245  -63.998  -11.213
     436  -79.441  -63.816   -7.330
     437  -72.893  -52.131   -2.879
     438  -84.027  -61.568   -3.281
     439  -72.691  -58.438   -5.523
     440  -65.788  -58.067   -6.859
     441  -63.391  -64.598  -10.947
     442  -59.795  -71.230  -13.589
     443  -64.439  -66.200  -16.249
     444  -68.373  -75.607  -20.266
     445  -62.951  -68.412  -21.426
     446  -57.719  -66.678   -7.769
     447  -61.884  -71.778  -11.216
     448  -42.650  -79.320  -24.369
     449  -41.276  -73.912  -26.450
     450  -53.691  -82.061  -34.505
     451  -52.548  -81.193  -26.846
     452  -49.717  -73.473  -32.170
     453  -45.435  -68.085  -30.286
     454  -51.446  -61.510  -29.698
     455  -39.015  -68.276  -24.589
     456  -46.643  -77.222  -17.664
     457  -57.254  -73.699  -17.508
     458  -56.500  -79.047   -9.501
     459  -61.293  -78.705  -10.226
     460  -72.417  -76.798  -11.637
     461  -67.995  -84.668  -19.817
     462  -60.544  -72.537  -16.429
     463  -64.317  -74.362  -14.278
     464  -51.877  -72.105  -22.491
     465  -45.563  -70.890  -15.396
     466  -50.341  -77.115  -14.431
     467  -46.839  -78.457  -20.181
     468  -38.985  -88.656  -22.409
     469  -37.118  -84.902  -17.653
     470  -39.919  -80.756  -26.862
     471  -41.833  -76.919  -14.470
     472  -39.803  -74.608  -18.485
     473  -42.759  -76.209  -26.601
     474  -41.474  -84.670  -21.813
     475  -42.972  -85.248  -20.011
     476  -47.214  -93.386  -14.486
     477  -45.408  -88.861  -14.958
     478  -51.488  -95.324   -5.355
     479  -54.938  -95.296   -6.339
     480  -62.432  -95.843   -7.298
     481  -59.748  -99.663  -23.938
     482  -50.462  -88.968  -18.379
     483  -49.622  -84.991  -21.730
     484  -54.649  -81.129  -17.329
     485  -57.685  -79.373  -13.828
     486  -45.621  -73.771  -22.137
     487  -45.973  -73.828  -20.599
     488  -43.657  -69.502  -13.538
     489  -44.637  -78.317  -10.728
     490  -39.536  -59.664   -3.594
     491  -41.196  -65.755  -14.909
     492  -34.812  -65.612  -13.958
     493  -45.777  -74.338  -11.739
     494  -45.196  -75.671   -5.618
     495  -45.377  -68.308   -5.837
     496  -52.052  -73.528   -3.722
     497  -57.000  -69.726   -3.852
     498  -55.990  -76.654    3.487
     499  -71.715  -73.707    9.571
     500  -71.257  -81.448   -8.624
     501  -72.168  -75.229   -6.476
     502  -69.464  -89.934    1.298
     503  -64.211  -93.176   -2.784
     504  -59.181 -101.781    2.720
     505  -58.699 -100.016   -7.770
     506  -64.110 -100.215  -12.171
     507  -61.768  -99.339  -13.473
     508  -62.971  -91.822   -9.110
     509  -61.223  -84.769   -0.088
     510  -68.234  -87.651   -0.703
     511  -61.906  -92.813    1.658
     512  -72.570  -80.294   -3.132
     513  -68.365  -83.590  -16.139
     514  -68.818  -78.211  -11.651
     515  -84.284  -75.917  -22.721
     516  -86.378  -74.893  -24.016
     517  -86.580  -73.056  -15.881
     518  -81.826  -84.423  -35.390
     519  -83.010  -80.550  -39.931
     520  -72.976  -92.061  -35.021
     521  -68.777  -92.417  -30.957
     522  -71.557  -91.164  -34.056
     523  -68.756  -95.094  -38.119
     524  -65.801  -93.589  -41.981
     525  -62.275  -99.298  -39.038
     526  -63.826  -93.459  -32.675
     527  -65.647  -88.888  -33.098
     528  -66.566  -94.492  -24.257
     529  -60.051  -93.985  -37.129
     530  -68.475  -98.315  -37.650
     531  -61.063  -94.171  -23.224
     532  -64.163  -97.372  -19.857
     533  -60.465  -91.076  -21.074
     534  -65.397  -88.745  -24.732
     535  -56.714  -99.096  -23.216
     536  -71.967 -110.037  -24.980
     537  -69.947 -103.973  -17.696
     538  -63.899 -102.535  -20.578
     539  -61.648  -97.300  -18.566
     540  -69.943  -85.380  -14.968
     541  -73.525  -81.522  -16.520
     542  -78.677  -73.291  -23.240
     543  -77.884  -91.806  -25.346
     544  -82.301  -95.993   -6.643
     545  -80.138  -89.419    1.845
     546  -89.039  -81.224   -3.862
     547  -84.170  -88.034  -17.932
     548  -88.367  -89.521   -5.599
     549  -81.778  -81.886    3.069
     550  -84.304  -72.552    4.001
     551  -79.717  -68.962    0.607
     552  -78.776  -76.463    5.827
     553  -86.824  -86.476    4.786
     554  -78.012  -98.820    9.095
     555  -79.550  -96.086  -14.292
     556  -71.041  -93.452   -8.441
     557  -85.936  -94.302  -11.042
     558  -81.291 -108.985  -15.032
     559  -83.545 -100.586  -10.566
     560  -84.575  -86.985  -23.015
     561  -84.057  -92.576  -20.944
     562  -93.338  -97.718  -25.040
     563  -86.319  -92.525  -21.859
     564  -90.943  -88.790  -29.416
     565  -74.201  -92.947  -23.414
     566  -85.685  -99.401  -24.508
     567  -79.521 -107.056  -21.808
     568  -76.978 -105.454  -21.787
     569  -58.574 -102.919  -19.178
     570  -57.266  -89.255  -19.408
     571  -67.627  -87.731    1.591
     572  -69.188  -90.143    3.537
     573  -56.881  -82.546   -1.687
     574  -69.127  -77.313   -9.395
     575  -58.803  -86.830   -7.988
